2015-01-30 12:36:22 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:36:22 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:36:26 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:36:26 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:36:46 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:36:46 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:37:00 Debug: Here: /voiq/users/login, coming from: /
2015-01-30 12:37:00 Debug: Here: /voiq/users, coming from: /
2015-01-30 12:37:06 Debug: Here: /voiq/users, coming from: /
2015-01-30 12:37:06 Debug: Here: /voiq/users/login, coming from: /
2015-01-30 12:37:13 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:37:13 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:37:13 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:22 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:22 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:28 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:38 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:38 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:39:38 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:43:23 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:43:23 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:43:29 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:43:29 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:43:34 Debug: Here: /voiq/users/add/class:button, coming from: http://localhost/voiq/users
2015-01-30 12:44:14 Debug: Here: /voiq/users/add/class:button, coming from: http://localhost/voiq/users
2015-01-30 12:44:27 Debug: Here: /voiq/users/add/class:button, coming from: http://localhost/voiq/users
2015-01-30 12:44:29 Debug: Here: /voiq/users/add/, coming from: /
2015-01-30 12:44:44 Debug: Here: /voiq/users/add/, coming from: http://localhost/voiq/users/add/
2015-01-30 12:44:44 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/add/
2015-01-30 12:44:47 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users
2015-01-30 12:44:47 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users
2015-01-30 12:44:55 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:44:55 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:45:35 Debug: Here: /voiq/users/delete/4, coming from: http://localhost/voiq/users
2015-01-30 12:45:35 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users
2015-01-30 12:45:37 Debug: Here: /voiq/users/add, coming from: http://localhost/voiq/users
2015-01-30 12:45:51 Debug: Here: /voiq/users/add, coming from: http://localhost/voiq/users/add
2015-01-30 12:45:51 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/add
2015-01-30 12:45:53 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users
2015-01-30 12:45:53 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users
2015-01-30 12:46:01 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:01 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:01 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:03 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:03 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:59 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:46:59 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:47:01 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users
2015-01-30 12:47:01 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users
2015-01-30 12:48:19 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:48:19 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:48:35 Debug: Here: /voiq/users/view/7, coming from: http://localhost/voiq/users
2015-01-30 12:48:46 Debug: Here: /voiq/users/, coming from: /
2015-01-30 12:48:52 Debug: Here: /voiq/users/add, coming from: http://localhost/voiq/users/
2015-01-30 12:53:24 Debug: Here: /voiq/users/, coming from: /
2015-01-30 12:53:24 Debug: Here: /voiq/voiq/customers/search, coming from: /
2015-01-30 12:53:57 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/voiq/customers/search
2015-01-30 12:53:57 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/voiq/customers/search
2015-01-30 12:54:04 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:54:05 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:54:20 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:54:21 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:54:23 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/customers/search
2015-01-30 12:54:23 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/customers/search
2015-01-30 12:54:28 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:54:28 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:56:05 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
